Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Wed Jan 1 2014,9:00 pm,Philadelphia 76ers,114,Denver Nuggets,102,Box Score,,
Wed Jan 1 2014,9:30 pm,Charlotte Bobcats,85,Los Angeles Clippers,112,Box Score,,
Wed Jan 1 2014,8:00 pm,New Orleans Pelicans,112,Minnesota Timberwolves,124,Box Score,,
Wed Jan 1 2014,7:00 pm,Indiana Pacers,82,Toronto Raptors,95,Box Score,,
Wed Jan 1 2014,6:00 pm,Dallas Mavericks,87,Washington Wizards,78,Box Score,,
Thu Jan 2 2014,8:00 pm,Boston Celtics,82,Chicago Bulls,94,Box Score,,
Thu Jan 2 2014,7:00 pm,Orlando Magic,81,Cleveland Cavaliers,87,Box Score,OT,
Thu Jan 2 2014,7:30 pm,Golden State Warriors,123,Miami Heat,114,Box Score,,
Thu Jan 2 2014,8:00 pm,Brooklyn Nets,95,Oklahoma City Thunder,93,Box Score,,
Thu Jan 2 2014,9:00 pm,Memphis Grizzlies,99,Phoenix Suns,91,Box Score,,
Thu Jan 2 2014,10:00 pm,Charlotte Bobcats,104,Portland Trail Blazers,134,Box Score,,
Thu Jan 2 2014,10:00 pm,Philadelphia 76ers,113,Sacramento Kings,104,Box Score,,
Thu Jan 2 2014,8:30 pm,New York Knicks,105,San Antonio Spurs,101,Box Score,,
Thu Jan 2 2014,9:00 pm,Milwaukee Bucks,87,Utah Jazz,96,Box Score,,
Fri Jan 3 2014,7:30 pm,Golden State Warriors,101,Atlanta Hawks,100,Box Score,,
Fri Jan 3 2014,7:30 pm,New Orleans Pelicans,95,Boston Celtics,92,Box Score,,
Fri Jan 3 2014,8:30 pm,Los Angeles Clippers,119,Dallas Mavericks,112,Box Score,,
Fri Jan 3 2014,9:00 pm,Memphis Grizzlies,108,Denver Nuggets,111,Box Score,,
Fri Jan 3 2014,8:00 pm,New York Knicks,100,Houston Rockets,102,Box Score,,
Fri Jan 3 2014,10:30 pm,Utah Jazz,99,Los Angeles Lakers,110,Box Score,,
Fri Jan 3 2014,7:00 pm,Toronto Raptors,101,Washington Wizards,88,Box Score,,
Sat Jan 4 2014,7:30 pm,Cleveland Cavaliers,82,Brooklyn Nets,89,Box Score,,
Sat Jan 4 2014,8:00 pm,Atlanta Hawks,84,Chicago Bulls,91,Box Score,,
Sat Jan 4 2014,7:00 pm,New Orleans Pelicans,82,Indiana Pacers,99,Box Score,,
Sat Jan 4 2014,8:00 pm,Oklahoma City Thunder,115,Minnesota Timberwolves,111,Box Score,,
Sat Jan 4 2014,7:00 pm,Miami Heat,110,Orlando Magic,94,Box Score,,
Sat Jan 4 2014,9:00 pm,Milwaukee Bucks,100,Phoenix Suns,116,Box Score,,
Sat Jan 4 2014,10:00 pm,Philadelphia 76ers,101,Portland Trail Blazers,99,Box Score,,
Sat Jan 4 2014,10:00 pm,Charlotte Bobcats,113,Sacramento Kings,103,Box Score,,
Sat Jan 4 2014,8:30 pm,Los Angeles Clippers,92,San Antonio Spurs,116,Box Score,,
Sun Jan 5 2014,6:00 pm,Indiana Pacers,82,Cleveland Cavaliers,78,Box Score,,
