Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Sat Feb 1 2014,7:30 pm,Minnesota Timberwolves,113,Atlanta Hawks,120,Box Score,,
Sat Feb 1 2014,7:30 pm,Philadelphia 76ers,96,Detroit Pistons,113,Box Score,,
Sat Feb 1 2014,8:00 pm,Cleveland Cavaliers,92,Houston Rockets,106,Box Score,,
Sat Feb 1 2014,7:00 pm,Brooklyn Nets,96,Indiana Pacers,97,Box Score,,
Sat Feb 1 2014,10:30 pm,Utah Jazz,87,Los Angeles Clippers,102,Box Score,,
Sat Feb 1 2014,8:00 pm,Milwaukee Bucks,90,Memphis Grizzlies,99,Box Score,,
Sat Feb 1 2014,8:00 pm,Chicago Bulls,79,New Orleans Pelicans,88,Box Score,,
Sat Feb 1 2014,8:30 pm,Miami Heat,106,New York Knicks,91,Box Score,,
Sat Feb 1 2014,9:00 pm,Charlotte Bobcats,95,Phoenix Suns,105,Box Score,,
Sat Feb 1 2014,10:00 pm,Toronto Raptors,103,Portland Trail Blazers,106,Box Score,,
Sat Feb 1 2014,8:30 pm,Sacramento Kings,93,San Antonio Spurs,95,Box Score,,
Sat Feb 1 2014,7:00 pm,Oklahoma City Thunder,81,Washington Wizards,96,Box Score,,
Sun Feb 2 2014,1:00 pm,Orlando Magic,89,Boston Celtics,96,Box Score,,
Mon Feb 3 2014,7:30 pm,Philadelphia 76ers,102,Brooklyn Nets,108,Box Score,,
Mon Feb 3 2014,8:30 pm,Cleveland Cavaliers,107,Dallas Mavericks,124,Box Score,,
Mon Feb 3 2014,9:00 pm,Los Angeles Clippers,115,Denver Nuggets,116,Box Score,,
Mon Feb 3 2014,7:00 pm,Orlando Magic,79,Indiana Pacers,98,Box Score,,
Mon Feb 3 2014,7:30 pm,Detroit Pistons,96,Miami Heat,102,Box Score,,
Mon Feb 3 2014,8:00 pm,New York Knicks,98,Milwaukee Bucks,101,Box Score,,
Mon Feb 3 2014,8:00 pm,San Antonio Spurs,102,New Orleans Pelicans,95,Box Score,,
Mon Feb 3 2014,8:00 pm,Memphis Grizzlies,77,Oklahoma City Thunder,86,Box Score,,
Mon Feb 3 2014,10:00 pm,Chicago Bulls,70,Sacramento Kings,99,Box Score,,
Mon Feb 3 2014,9:00 pm,Toronto Raptors,94,Utah Jazz,79,Box Score,,
Mon Feb 3 2014,7:00 pm,Portland Trail Blazers,90,Washington Wizards,100,Box Score,,
Tue Feb 4 2014,7:30 pm,Indiana Pacers,89,Atlanta Hawks,85,Box Score,,
Tue Feb 4 2014,10:30 pm,Charlotte Bobcats,91,Golden State Warriors,75,Box Score,,
Tue Feb 4 2014,8:00 pm,Los Angeles Lakers,99,Minnesota Timberwolves,109,Box Score,,
Tue Feb 4 2014,9:00 pm,Chicago Bulls,101,Phoenix Suns,92,Box Score,,
Wed Feb 5 2014,7:00 pm,Los Angeles Lakers,119,Cleveland Cavaliers,108,Box Score,,
Wed Feb 5 2014,9:00 pm,Milwaukee Bucks,100,Denver Nuggets,110,Box Score,,
Wed Feb 5 2014,8:00 pm,Phoenix Suns,108,Houston Rockets,122,Box Score,,
Wed Feb 5 2014,10:30 pm,Miami Heat,116,Los Angeles Clippers,112,Box Score,,
Wed Feb 5 2014,8:00 pm,Dallas Mavericks,110,Memphis Grizzlies,96,Box Score,,
Wed Feb 5 2014,8:00 pm,Atlanta Hawks,100,New Orleans Pelicans,105,Box Score,,
Wed Feb 5 2014,8:00 pm,Portland Trail Blazers,94,New York Knicks,90,Box Score,,
Wed Feb 5 2014,8:00 pm,Minnesota Timberwolves,97,Oklahoma City Thunder,106,Box Score,,
Wed Feb 5 2014,7:00 pm,Detroit Pistons,98,Orlando Magic,112,Box Score,,
Wed Feb 5 2014,7:00 pm,Boston Celtics,114,Philadelphia 76ers,108,Box Score,,
Wed Feb 5 2014,10:00 pm,Toronto Raptors,101,Sacramento Kings,109,Box Score,,
Wed Feb 5 2014,7:00 pm,San Antonio Spurs,125,Washington Wizards,118,Box Score,2OT,
Thu Feb 6 2014,8:00 pm,San Antonio Spurs,89,Brooklyn Nets,103,Box Score,,
Thu Feb 6 2014,10:30 pm,Chicago Bulls,87,Golden State Warriors,102,Box Score,,
Fri Feb 7 2014,7:30 pm,Sacramento Kings,89,Boston Celtics,99,Box Score,,
Fri Feb 7 2014,8:30 pm,Utah Jazz,81,Dallas Mavericks,103,Box Score,,
Fri Feb 7 2014,7:30 pm,Brooklyn Nets,95,Detroit Pistons,111,Box Score,,
Fri Feb 7 2014,7:00 pm,Portland Trail Blazers,113,Indiana Pacers,118,Box Score,OT,
Fri Feb 7 2014,10:30 pm,Toronto Raptors,105,Los Angeles Clippers,118,Box Score,,
Fri Feb 7 2014,9:30 pm,Minnesota Timberwolves,91,New Orleans Pelicans,98,Box Score,,
Fri Feb 7 2014,7:30 pm,Denver Nuggets,90,New York Knicks,117,Box Score,,
Fri Feb 7 2014,7:00 pm,Oklahoma City Thunder,102,Orlando Magic,103,Box Score,,
Fri Feb 7 2014,7:00 pm,Los Angeles Lakers,112,Philadelphia 76ers,98,Box Score,,
Fri Feb 7 2014,7:00 pm,Cleveland Cavaliers,115,Washington Wizards,113,Box Score,,
Sat Feb 8 2014,7:30 pm,Memphis Grizzlies,79,Atlanta Hawks,76,Box Score,,
Sat Feb 8 2014,7:00 pm,San Antonio Spurs,104,Charlotte Bobcats,100,Box Score,,
Sat Feb 8 2014,7:30 pm,Denver Nuggets,109,Detroit Pistons,126,Box Score,,
Sat Feb 8 2014,8:30 pm,Houston Rockets,101,Milwaukee Bucks,95,Box Score,,
Sat Feb 8 2014,8:00 pm,Portland Trail Blazers,117,Minnesota Timberwolves,110,Box Score,,
Sat Feb 8 2014,9:00 pm,Golden State Warriors,109,Phoenix Suns,122,Box Score,,
Sat Feb 8 2014,9:00 pm,Miami Heat,89,Utah Jazz,94,Box Score,,
Sun Feb 9 2014,6:00 pm,Dallas Mavericks,102,Boston Celtics,91,Box Score,,
Sun Feb 9 2014,6:00 pm,New Orleans Pelicans,81,Brooklyn Nets,93,Box Score,,
Sun Feb 9 2014,6:00 pm,Memphis Grizzlies,83,Cleveland Cavaliers,91,Box Score,OT,
Sun Feb 9 2014,9:30 pm,Philadelphia 76ers,78,Los Angeles Clippers,123,Box Score,,
Sun Feb 9 2014,3:30 pm,Chicago Bulls,92,Los Angeles Lakers,86,Box Score,,
Sun Feb 9 2014,1:00 pm,New York Knicks,100,Oklahoma City Thunder,112,Box Score,,
Sun Feb 9 2014,6:00 pm,Indiana Pacers,92,Orlando Magic,93,Box Score,,
Sun Feb 9 2014,6:00 pm,Sacramento Kings,84,Washington Wizards,93,Box Score,,
Mon Feb 10 2014,7:30 pm,San Antonio Spurs,100,Detroit Pistons,109,Box Score,,
Mon Feb 10 2014,10:30 pm,Philadelphia 76ers,80,Golden State Warriors,123,Box Score,,
Mon Feb 10 2014,7:00 pm,Denver Nuggets,80,Indiana Pacers,119,Box Score,,
Mon Feb 10 2014,8:00 pm,Boston Celtics,102,Milwaukee Bucks,86,Box Score,,
Mon Feb 10 2014,8:00 pm,Houston Rockets,107,Minnesota Timberwolves,89,Box Score,,
Mon Feb 10 2014,7:00 pm,New Orleans Pelicans,101,Toronto Raptors,108,Box Score,,
Tue Feb 11 2014,7:00 pm,Dallas Mavericks,89,Charlotte Bobcats,114,Box Score,,
Tue Feb 11 2014,8:00 pm,Atlanta Hawks,85,Chicago Bulls,100,Box Score,,
Tue Feb 11 2014,7:00 pm,Sacramento Kings,99,Cleveland Cavaliers,109,Box Score,,
Tue Feb 11 2014,10:30 pm,Utah Jazz,96,Los Angeles Lakers,79,Box Score,,
Tue Feb 11 2014,8:00 pm,Washington Wizards,89,Memphis Grizzlies,92,Box Score,,
Tue Feb 11 2014,9:00 pm,Miami Heat,103,Phoenix Suns,97,Box Score,,
Tue Feb 11 2014,10:00 pm,Oklahoma City Thunder,98,Portland Trail Blazers,95,Box Score,,
Wed Feb 12 2014,7:30 pm,San Antonio Spurs,104,Boston Celtics,92,Box Score,,
Wed Feb 12 2014,7:30 pm,Charlotte Bobcats,89,Brooklyn Nets,105,Box Score,,
Wed Feb 12 2014,7:30 pm,Cleveland Cavaliers,93,Detroit Pistons,89,Box Score,,
Wed Feb 12 2014,10:30 pm,Miami Heat,111,Golden State Warriors,110,Box Score,,
Wed Feb 12 2014,8:00 pm,Washington Wizards,112,Houston Rockets,113,Box Score,,
Wed Feb 12 2014,7:00 pm,Dallas Mavericks,81,Indiana Pacers,73,Box Score,,
Wed Feb 12 2014,10:30 pm,Portland Trail Blazers,117,Los Angeles Clippers,122,Box Score,,
Wed Feb 12 2014,8:00 pm,New Orleans Pelicans,102,Milwaukee Bucks,98,Box Score,,
Wed Feb 12 2014,8:00 pm,Denver Nuggets,90,Minnesota Timberwolves,117,Box Score,,
Wed Feb 12 2014,7:30 pm,Sacramento Kings,106,New York Knicks,101,Box Score,OT,
Wed Feb 12 2014,7:00 pm,Memphis Grizzlies,86,Orlando Magic,81,Box Score,,
Wed Feb 12 2014,7:00 pm,Atlanta Hawks,83,Toronto Raptors,104,Box Score,,
Wed Feb 12 2014,9:00 pm,Philadelphia 76ers,100,Utah Jazz,105,Box Score,,
Thu Feb 13 2014,8:00 pm,Brooklyn Nets,76,Chicago Bulls,92,Box Score,,
Thu Feb 13 2014,10:30 pm,Oklahoma City Thunder,107,Los Angeles Lakers,103,Box Score,,
Tue Feb 18 2014,8:30 pm,Miami Heat,117,Dallas Mavericks,106,Box Score,,
Tue Feb 18 2014,9:00 pm,Phoenix Suns,112,Denver Nuggets,107,Box Score,OT,
Tue Feb 18 2014,7:30 pm,Charlotte Bobcats,108,Detroit Pistons,96,Box Score,,
Tue Feb 18 2014,7:00 pm,Atlanta Hawks,98,Indiana Pacers,108,Box Score,,
Tue Feb 18 2014,10:30 pm,San Antonio Spurs,113,Los Angeles Clippers,103,Box Score,,
Tue Feb 18 2014,8:00 pm,New York Knicks,93,Memphis Grizzlies,98,Box Score,,
Tue Feb 18 2014,8:00 pm,Orlando Magic,100,Milwaukee Bucks,104,Box Score,,
Tue Feb 18 2014,7:00 pm,Cleveland Cavaliers,114,Philadelphia 76ers,85,Box Score,,
Tue Feb 18 2014,7:00 pm,Toronto Raptors,103,Washington Wizards,93,Box Score,,
Wed Feb 19 2014,7:30 pm,Washington Wizards,114,Atlanta Hawks,97,Box Score,,
Wed Feb 19 2014,7:00 pm,Detroit Pistons,98,Charlotte Bobcats,116,Box Score,,
Wed Feb 19 2014,7:00 pm,Orlando Magic,93,Cleveland Cavaliers,101,Box Score,,
Wed Feb 19 2014,10:30 pm,Houston Rockets,134,Los Angeles Lakers,108,Box Score,,
Wed Feb 19 2014,8:00 pm,Indiana Pacers,91,Minnesota Timberwolves,104,Box Score,,
