Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Thu May 1 2014,7:00 pm,Indiana Pacers,95,Atlanta Hawks,88,Box Score,,
Thu May 1 2014,10:30 pm,Los Angeles Clippers,99,Golden State Warriors,100,Box Score,,
Thu May 1 2014,8:00 pm,Oklahoma City Thunder,104,Memphis Grizzlies,84,Box Score,,
Fri May 2 2014,7:00 pm,Toronto Raptors,83,Brooklyn Nets,97,Box Score,,
Fri May 2 2014,8:00 pm,San Antonio Spurs,111,Dallas Mavericks,113,Box Score,,
Fri May 2 2014,10:30 pm,Houston Rockets,98,Portland Trail Blazers,99,Box Score,,
Sat May 3 2014,5:30 pm,Atlanta Hawks,80,Indiana Pacers,92,Box Score,,
Sat May 3 2014,10:30 pm,Golden State Warriors,121,Los Angeles Clippers,126,Box Score,,
Sat May 3 2014,8:00 pm,Memphis Grizzlies,109,Oklahoma City Thunder,120,Box Score,,
Sun May 4 2014,3:30 pm,Dallas Mavericks,96,San Antonio Spurs,119,Box Score,,
Sun May 4 2014,1:00 pm,Brooklyn Nets,104,Toronto Raptors,103,Box Score,,
Mon May 5 2014,7:00 pm,Washington Wizards,102,Indiana Pacers,96,Box Score,,
Mon May 5 2014,9:42 pm,Los Angeles Clippers,122,Oklahoma City Thunder,105,Box Score,,
Tue May 6 2014,7:00 pm,Brooklyn Nets,86,Miami Heat,107,Box Score,,
Tue May 6 2014,9:30 pm,Portland Trail Blazers,92,San Antonio Spurs,116,Box Score,,
Wed May 7 2014,7:00 pm,Washington Wizards,82,Indiana Pacers,86,Box Score,,
Wed May 7 2014,9:30 pm,Los Angeles Clippers,101,Oklahoma City Thunder,112,Box Score,,
Thu May 8 2014,7:00 pm,Brooklyn Nets,82,Miami Heat,94,Box Score,,
Thu May 8 2014,9:30 pm,Portland Trail Blazers,97,San Antonio Spurs,114,Box Score,,
Fri May 9 2014,10:30 pm,Oklahoma City Thunder,118,Los Angeles Clippers,112,Box Score,,
Fri May 9 2014,8:00 pm,Indiana Pacers,85,Washington Wizards,63,Box Score,,
Sat May 10 2014,8:00 pm,Miami Heat,90,Brooklyn Nets,104,Box Score,,
Sat May 10 2014,10:30 pm,San Antonio Spurs,118,Portland Trail Blazers,103,Box Score,,
Sun May 11 2014,3:30 pm,Oklahoma City Thunder,99,Los Angeles Clippers,101,Box Score,,
Sun May 11 2014,8:00 pm,Indiana Pacers,95,Washington Wizards,92,Box Score,,
Mon May 12 2014,8:00 pm,Miami Heat,102,Brooklyn Nets,96,Box Score,,
Mon May 12 2014,10:30 pm,San Antonio Spurs,92,Portland Trail Blazers,103,Box Score,,
Tue May 13 2014,7:00 pm,Washington Wizards,102,Indiana Pacers,79,Box Score,,
Tue May 13 2014,9:30 pm,Los Angeles Clippers,104,Oklahoma City Thunder,105,Box Score,,
Wed May 14 2014,7:00 pm,Brooklyn Nets,94,Miami Heat,96,Box Score,,
Wed May 14 2014,9:30 pm,Portland Trail Blazers,82,San Antonio Spurs,104,Box Score,,
Thu May 15 2014,10:30 pm,Oklahoma City Thunder,104,Los Angeles Clippers,98,Box Score,,
Thu May 15 2014,8:00 pm,Indiana Pacers,93,Washington Wizards,80,Box Score,,
Sun May 18 2014,3:30 pm,Miami Heat,96,Indiana Pacers,107,Box Score,,
Mon May 19 2014,9:00 pm,Oklahoma City Thunder,105,San Antonio Spurs,122,Box Score,,
Tue May 20 2014,8:30 pm,Miami Heat,87,Indiana Pacers,83,Box Score,,
Wed May 21 2014,9:00 pm,Oklahoma City Thunder,77,San Antonio Spurs,112,Box Score,,
Sat May 24 2014,8:30 pm,Indiana Pacers,87,Miami Heat,99,Box Score,,
Sun May 25 2014,8:30 pm,San Antonio Spurs,97,Oklahoma City Thunder,106,Box Score,,
Mon May 26 2014,8:30 pm,Indiana Pacers,90,Miami Heat,102,Box Score,,
Tue May 27 2014,9:00 pm,San Antonio Spurs,92,Oklahoma City Thunder,105,Box Score,,
Wed May 28 2014,8:30 pm,Miami Heat,90,Indiana Pacers,93,Box Score,,
Thu May 29 2014,9:00 pm,Oklahoma City Thunder,89,San Antonio Spurs,117,Box Score,,
Fri May 30 2014,8:30 pm,Indiana Pacers,92,Miami Heat,117,Box Score,,
Sat May 31 2014,8:30 pm,San Antonio Spurs,112,Oklahoma City Thunder,107,Box Score,OT,
