Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Sun Dec 1 2013,3:30 pm,Philadelphia 76ers,100,Detroit Pistons,115,Box Score,,
Sun Dec 1 2013,3:30 pm,Indiana Pacers,105,Los Angeles Clippers,100,Box Score,,
Sun Dec 1 2013,9:30 pm,Portland Trail Blazers,114,Los Angeles Lakers,108,Box Score,,
Sun Dec 1 2013,6:00 pm,Charlotte Bobcats,98,Miami Heat,99,Box Score,,
Sun Dec 1 2013,7:30 pm,New Orleans Pelicans,103,New York Knicks,99,Box Score,,
Sun Dec 1 2013,7:00 pm,Minnesota Timberwolves,103,Oklahoma City Thunder,113,Box Score,,
Sun Dec 1 2013,6:00 pm,Golden State Warriors,115,Sacramento Kings,113,Box Score,,
Sun Dec 1 2013,1:00 pm,Denver Nuggets,112,Toronto Raptors,98,Box Score,,
Mon Dec 2 2013,8:00 pm,New Orleans Pelicans,131,Chicago Bulls,128,Box Score,3OT,
Mon Dec 2 2013,10:00 pm,Indiana Pacers,102,Portland Trail Blazers,106,Box Score,,
Mon Dec 2 2013,8:30 pm,Atlanta Hawks,100,San Antonio Spurs,102,Box Score,,
Mon Dec 2 2013,9:00 pm,Houston Rockets,103,Utah Jazz,109,Box Score,,
Mon Dec 2 2013,7:00 pm,Orlando Magic,80,Washington Wizards,98,Box Score,,
Tue Dec 3 2013,7:30 pm,Milwaukee Bucks,100,Boston Celtics,108,Box Score,,
Tue Dec 3 2013,7:30 pm,Denver Nuggets,111,Brooklyn Nets,87,Box Score,,
Tue Dec 3 2013,8:30 pm,Charlotte Bobcats,82,Dallas Mavericks,89,Box Score,,
Tue Dec 3 2013,10:30 pm,Toronto Raptors,103,Golden State Warriors,112,Box Score,,
Tue Dec 3 2013,8:00 pm,Phoenix Suns,91,Memphis Grizzlies,110,Box Score,,
Tue Dec 3 2013,7:30 pm,Detroit Pistons,107,Miami Heat,97,Box Score,,
