Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Tue Apr 1 2014,8:00 pm,Houston Rockets,96,Brooklyn Nets,105,Box Score,,
Tue Apr 1 2014,8:30 pm,Golden State Warriors,122,Dallas Mavericks,120,Box Score,OT,
Tue Apr 1 2014,10:30 pm,Portland Trail Blazers,124,Los Angeles Lakers,112,Box Score,,
Wed Apr 2 2014,7:30 pm,Chicago Bulls,105,Atlanta Hawks,92,Box Score,,
Wed Apr 2 2014,9:00 pm,New Orleans Pelicans,107,Denver Nuggets,137,Box Score,,
Wed Apr 2 2014,7:00 pm,Detroit Pistons,94,Indiana Pacers,101,Box Score,,
Wed Apr 2 2014,7:30 pm,Milwaukee Bucks,77,Miami Heat,96,Box Score,,
Wed Apr 2 2014,8:00 pm,Memphis Grizzlies,88,Minnesota Timberwolves,102,Box Score,,
Wed Apr 2 2014,7:00 pm,Brooklyn Nets,81,New York Knicks,110,Box Score,,
Wed Apr 2 2014,7:00 pm,Cleveland Cavaliers,119,Orlando Magic,98,Box Score,,
Wed Apr 2 2014,7:00 pm,Charlotte Bobcats,123,Philadelphia 76ers,93,Box Score,,
Wed Apr 2 2014,10:00 pm,Los Angeles Clippers,112,Phoenix Suns,108,Box Score,,
Wed Apr 2 2014,10:00 pm,Los Angeles Lakers,102,Sacramento Kings,107,Box Score,,
Wed Apr 2 2014,8:30 pm,Golden State Warriors,90,San Antonio Spurs,111,Box Score,,
Wed Apr 2 2014,7:00 pm,Houston Rockets,103,Toronto Raptors,107,Box Score,,
Wed Apr 2 2014,7:00 pm,Boston Celtics,92,Washington Wizards,118,Box Score,,
Thu Apr 3 2014,10:30 pm,Dallas Mavericks,113,Los Angeles Clippers,107,Box Score,,
Thu Apr 3 2014,8:00 pm,San Antonio Spurs,94,Oklahoma City Thunder,106,Box Score,,
Fri Apr 4 2014,7:30 pm,Cleveland Cavaliers,98,Atlanta Hawks,117,Box Score,,
Fri Apr 4 2014,7:30 pm,Philadelphia 76ers,111,Boston Celtics,102,Box Score,,
Fri Apr 4 2014,7:30 pm,Detroit Pistons,104,Brooklyn Nets,116,Box Score,,
Fri Apr 4 2014,7:00 pm,Orlando Magic,80,Charlotte Bobcats,91,Box Score,,
Fri Apr 4 2014,8:00 pm,Milwaukee Bucks,90,Chicago Bulls,102,Box Score,,
Fri Apr 4 2014,10:30 pm,Sacramento Kings,69,Golden State Warriors,102,Box Score,,
Fri Apr 4 2014,9:30 pm,Oklahoma City Thunder,107,Houston Rockets,111,Box Score,,
Fri Apr 4 2014,10:30 pm,Dallas Mavericks,107,Los Angeles Lakers,95,Box Score,,
Fri Apr 4 2014,7:00 pm,Denver Nuggets,92,Memphis Grizzlies,100,Box Score,,
Fri Apr 4 2014,7:30 pm,Minnesota Timberwolves,122,Miami Heat,121,Box Score,2OT,
Fri Apr 4 2014,7:30 pm,Washington Wizards,90,New York Knicks,89,Box Score,,
Fri Apr 4 2014,10:00 pm,Phoenix Suns,109,Portland Trail Blazers,93,Box Score,,
Fri Apr 4 2014,7:00 pm,Indiana Pacers,94,Toronto Raptors,102,Box Score,,
Fri Apr 4 2014,9:00 pm,New Orleans Pelicans,96,Utah Jazz,100,Box Score,,
