win,lose,probability
Cleveland Cavaliers,New York Knicks,0.9097351833608948
Golden State Warriors,San Antonio Spurs,0.6862804736841309
Portland Trail Blazers,Utah Jazz,0.623480227561268
Boston Celtics,Brooklyn Nets,0.8905012958403846
Indiana Pacers,Dallas Mavericks,0.6392378147705572
Houston Rockets,Los Angeles Lakers,0.8133448194790738
Memphis Grizzlies,Minnesota Timberwolves,0.6202657488397426
Charlotte Hornets,Milwaukee Bucks,0.7142121553804832
New Orleans Pelicans,Denver Nuggets,0.5000053989949096
Miami Heat,Orlando Magic,0.6459009726451692
Oklahoma City Thunder,Philadelphia 76ers,0.9530786548858303
Sacramento Kings,Phoenix Suns,0.6289581765524059
Toronto Raptors,Detroit Pistons,0.7565275237976141
Atlanta Hawks,Washington Wizards,0.6904887387314247
Boston Celtics,Chicago Bulls,0.5730389382528782
Los Angeles Clippers,Portland Trail Blazers,0.5171991421678225
San Antonio Spurs,Sacramento Kings,0.8555954618826033
Indiana Pacers,Brooklyn Nets,0.8191134785785177
Dallas Mavericks,Houston Rockets,0.5487937187338875
Detroit Pistons,Orlando Magic,0.6793138125850694
Miami Heat,Charlotte Hornets,0.5832485057757473
Golden State Warriors,New Orleans Pelicans,0.9091685610837401
Oklahoma City Thunder,Phoenix Suns,0.9317519848474798
Cleveland Cavaliers,Toronto Raptors,0.5059740844008829
Utah Jazz,Los Angeles Lakers,0.8534245173507022
Indiana Pacers,Chicago Bulls,0.5242513117399188
Charlotte Hornets,Boston Celtics,0.5818126296141899
Cleveland Cavaliers,Orlando Magic,0.8865885663316438
Portland Trail Blazers,Denver Nuggets,0.7549250748976402
Milwaukee Bucks,Brooklyn Nets,0.6982584919981977
Memphis Grizzlies,New York Knicks,0.5325811944370591
Atlanta Hawks,Philadelphia 76ers,0.9114933175534158
Sacramento Kings,Minnesota Timberwolves,0.5760883983625741
San Antonio Spurs,New Orleans Pelicans,0.9371744658681909
Detroit Pistons,Milwaukee Bucks,0.741962777401005
Houston Rockets,Dallas Mavericks,0.5797531221922616
Los Angeles Clippers,Utah Jazz,0.7213520269362382
Washington Wizards,Memphis Grizzlies,0.5301878088875034
San Antonio Spurs,Miami Heat,0.6697577317773729
Oklahoma City Thunder,Los Angeles Lakers,0.9510030737331838
Golden State Warriors,Phoenix Suns,0.9397750576689589
Atlanta Hawks,Sacramento Kings,0.7821089175893999
Chicago Bulls,Brooklyn Nets,0.7663325379568597
Los Angeles Clippers,Phoenix Suns,0.890302719044835
Toronto Raptors,Denver Nuggets,0.8553885044212808
Cleveland Cavaliers,Houston Rockets,0.8335363829977268
Detroit Pistons,New York Knicks,0.7319752024978923
Indiana Pacers,Los Angeles Lakers,0.8818970052102024
Miami Heat,Sacramento Kings,0.7760587621843993
Memphis Grizzlies,Minnesota Timberwolves,0.5146110392923375
New Orleans Pelicans,Milwaukee Bucks,0.5293519020889701
Orlando Magic,Philadelphia 76ers,0.8198484340481944
Golden State Warriors,Portland Trail Blazers,0.7631310741934098
San Antonio Spurs,Utah Jazz,0.8727857893198113
Atlanta Hawks,Los Angeles Lakers,0.9026449269656163
Boston Celtics,Chicago Bulls,0.6975986915941009
Detroit Pistons,Brooklyn Nets,0.7918296120012014
Charlotte Hornets,Philadelphia 76ers,0.9340498694395086
Oklahoma City Thunder,Los Angeles Clippers,0.5258525241157976
Memphis Grizzlies,New Orleans Pelicans,0.6424125379603026
Houston Rockets,New York Knicks,0.6341239386072629
Portland Trail Blazers,Phoenix Suns,0.8542037055381083
Utah Jazz,Dallas Mavericks,0.5801175458540833
Toronto Raptors,Washington Wizards,0.6352129141988238
Cleveland Cavaliers,Boston Celtics,0.7736610018106062
Golden State Warriors,Oklahoma City Thunder,0.7563010896647869
Indiana Pacers,Milwaukee Bucks,0.6777825142777834
Minnesota Timberwolves,Denver Nuggets,0.538824506540035
Orlando Magic,Sacramento Kings,0.5736500411683532
Charlotte Hornets,Brooklyn Nets,0.8432595239766643
Chicago Bulls,New York Knicks,0.687196485898301
Portland Trail Blazers,Dallas Mavericks,0.6211993154708241
Golden State Warriors,Los Angeles Lakers,0.9585894294878757
Los Angeles Clippers,Memphis Grizzlies,0.6822236278639314
New Orleans Pelicans,Phoenix Suns,0.6256039362806837
Toronto Raptors,Miami Heat,0.6891039863996954
San Antonio Spurs,Utah Jazz,0.7571621026319031
Atlanta Hawks,Washington Wizards,0.5460829169389966
Atlanta Hawks,Houston Rockets,0.6744165643302232
Detroit Pistons,Denver Nuggets,0.7188317477508607
Indiana Pacers,Chicago Bulls,0.6569647855842364
Sacramento Kings,Milwaukee Bucks,0.5023022356073112
Oklahoma City Thunder,Minnesota Timberwolves,0.8959278166017169
Washington Wizards,Orlando Magic,0.5445898475730027
Cleveland Cavaliers,Philadelphia 76ers,0.9580599633070254
San Antonio Spurs,Los Angeles Clippers,0.7945621374509246
Boston Celtics,Denver Nuggets,0.7910699426164959
Dallas Mavericks,Milwaukee Bucks,0.7204774836218631
Phoenix Suns,Los Angeles Lakers,0.5805419130809562
Portland Trail Blazers,Memphis Grizzlies,0.7079635710378389
Utah Jazz,New York Knicks,0.6331408464993107
Toronto Raptors,Sacramento Kings,0.8447182974015917
Chicago Bulls,Orlando Magic,0.6301820842073116
Charlotte Hornets,Indiana Pacers,0.6288761013906123
Golden State Warriors,New Orleans Pelicans,0.9509152518233014
Los Angeles Clippers,Detroit Pistons,0.7184296308203292
Oklahoma City Thunder,Miami Heat,0.7537967583453139
Utah Jazz,Philadelphia 76ers,0.8761584816114891
Washington Wizards,Houston Rockets,0.5464582880981552
Minnesota Timberwolves,Brooklyn Nets,0.6547491479046782
Cleveland Cavaliers,Atlanta Hawks,0.7755071884458756
Dallas Mavericks,Los Angeles Lakers,0.8040209557745199
Memphis Grizzlies,Denver Nuggets,0.6078867480052546
Portland Trail Blazers,Phoenix Suns,0.8384859137727936
Sacramento Kings,New Orleans Pelicans,0.5991465977718534
Atlanta Hawks,Chicago Bulls,0.7039634552136621
Charlotte Hornets,Utah Jazz,0.6717816757730724
Golden State Warriors,Dallas Mavericks,0.9040646393782549
Indiana Pacers,Philadelphia 76ers,0.9205902901060934
Los Angeles Clippers,Portland Trail Blazers,0.5637765387160248
New York Knicks,Brooklyn Nets,0.7001573730413545
Oklahoma City Thunder,Toronto Raptors,0.6739285125258244
Orlando Magic,Minnesota Timberwolves,0.6065277964226665
Detroit Pistons,Phoenix Suns,0.747962932899734
San Antonio Spurs,Houston Rockets,0.8723148458565431
Boston Celtics,Washington Wizards,0.5487025707826616
Golden State Warriors,Denver Nuggets,0.8913542347248251
Miami Heat,Chicago Bulls,0.6965852275137131
Milwaukee Bucks,New Orleans Pelicans,0.5552599580964775
Sacramento Kings,Los Angeles Lakers,0.7539369204967254
Boston Celtics,New York Knicks,0.8017677903760735
Toronto Raptors,Charlotte Hornets,0.5072488915462284
Oklahoma City Thunder,Los Angeles Clippers,0.7105566688539173
Utah Jazz,Orlando Magic,0.5618751116663945
Indiana Pacers,Philadelphia 76ers,0.8952381801730869
Portland Trail Blazers,Sacramento Kings,0.7407520681433609
San Antonio Spurs,Detroit Pistons,0.8711679459523901
Cleveland Cavaliers,Washington Wizards,0.7274096229795403
Atlanta Hawks,Philadelphia 76ers,0.9350413997102206
Chicago Bulls,Washington Wizards,0.5403410674151322
Detroit Pistons,Denver Nuggets,0.6094194322983995
San Antonio Spurs,Houston Rockets,0.7574370496915317
Indiana Pacers,Boston Celtics,0.5324499070078716
Miami Heat,Utah Jazz,0.6675910809862415
Memphis Grizzlies,Milwaukee Bucks,0.5348281135853856
