date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-12-30,16.0,16.22,16.18,15.96,112932.04,0.14,0.87,15.858,15.968,16.46,130837.48,146462.21,173405.04,0.07
2016-12-29,15.93,16.21,16.04,15.87,244864.75,0.34,2.17,15.792,15.959,16.508,155619.76,156660.62,180741.68,0.15
2016-12-28,15.78,15.81,15.7,15.63,90038.05,0.04,0.26,15.804,15.988,16.562,132036.74,161592.88,180488.26,0.05
2016-12-27,15.66,15.75,15.66,15.64,76320.98,-0.05,-0.32,15.904,16.083,16.624,147397.07,170477.54,190961.93,0.05
2016-12-26,15.8,15.8,15.71,15.46,130031.57,-0.14,-0.88,15.992,16.225,16.716,159907.62,181198.34,202950.96,0.08
2016-12-23,16.14,16.14,15.85,15.63,236843.44,-0.25,-1.55,16.078,16.378,16.819,162086.94,204308.52,214379.04,0.14
2016-12-22,16.16,16.22,16.1,16.05,126949.64,-0.1,-0.62,16.126,16.526,16.898,157701.47,192652.94,211419.2,0.08
2016-12-21,16.1,16.32,16.2,16.08,166839.7,0.1,0.62,16.172,16.645,16.965,191149.03,194155.72,216159.04,0.1
2016-12-20,16.13,16.15,16.1,15.91,138873.73,-0.04,-0.25,16.262,16.758,17.023,193558.0,190020.53,221279.45,0.08
2016-12-19,16.09,16.34,16.14,16.03,140928.2,0.05,0.31,16.458,16.86,17.102,202489.05,192487.07,238593.49,0.09
2016-12-16,16.31,16.31,16.09,15.96,214916.09,-0.24,-1.47,16.678,16.952,17.145,246530.1,200347.87,240978.58,0.13
2016-12-15,16.6,16.71,16.33,16.09,294187.41,-0.32,-1.92,16.926,17.056,17.188,227604.41,204822.74,240103.3,0.18
2016-12-14,16.95,17.0,16.65,16.6,178884.59,-0.43,-2.52,17.118,17.135,17.237,197162.41,199383.63,234325.45,0.11
2016-12-13,17.1,17.13,17.08,16.75,183528.98,-0.16,-0.93,17.254,17.165,17.264,186483.07,211446.32,240088.68,0.11
2016-12-12,17.52,17.8,17.24,17.09,361133.41,-0.09,-0.52,17.262,17.207,17.273,182485.09,224703.58,248887.55,0.22
2016-12-09,17.2,17.43,17.33,17.09,120287.65,0.04,0.23,17.226,17.259,17.295,154165.65,224449.57,257955.68,0.07
2016-12-08,17.33,17.53,17.29,17.27,141977.41,-0.04,-0.23,17.186,17.27,17.318,182041.08,230185.45,274048.22,0.09
2016-12-07,17.19,17.38,17.33,17.0,125487.88,0.21,1.23,17.152,17.284,17.338,201604.86,238162.37,282709.18,0.08
2016-12-06,17.15,17.47,17.12,17.11,163539.12,0.05,0.29,17.076,17.288,17.356,236409.56,252538.37,300551.36,0.1
2016-12-05,16.93,17.29,17.06,16.83,219536.17,-0.08,-0.47,17.152,17.344,17.385,266922.06,284699.91,313590.31,0.13
2016-12-02,17.08,17.38,17.13,17.03,259664.81,0.01,0.06,17.292,17.337,17.442,294733.49,281609.29,328550.41,0.16
2016-12-01,16.99,17.23,17.12,16.91,239796.31,0.19,1.12,17.354,17.319,17.453,278329.83,275383.87,335284.45,0.15
2016-11-30,17.32,17.4,16.95,16.88,299511.41,-0.54,-3.09,17.416,17.338,17.449,274719.88,269267.26,332743.72,0.18
2016-11-29,17.62,17.84,17.5,17.31,316101.62,-0.27,-1.52,17.5,17.363,17.445,268667.17,268731.04,328480.45,0.19
2016-11-28,17.5,17.87,17.76,17.4,358593.28,0.32,1.83,17.536,17.338,17.425,302477.75,273071.51,325530.09,0.22
2016-11-25,17.43,17.51,17.44,17.06,177646.52,0.01,0.06,17.382,17.331,17.382,268485.1,291461.79,314424.3,0.11
2016-11-24,17.65,17.75,17.43,17.35,221746.56,0.07,0.4,17.284,17.365,17.354,272437.9,317911.0,315371.35,0.13
2016-11-23,17.8,17.8,17.37,17.32,269247.88,-0.31,-1.75,17.26,17.392,17.321,263814.64,327255.98,318616.16,0.16
2016-11-22,17.11,17.72,17.68,17.11,485154.5,0.68,4.0,17.226,17.424,17.302,268794.9,348564.35,320916.64,0.29
2016-11-21,16.91,17.23,16.99,16.9,188630.05,0.04,0.24,17.14,17.426,17.286,243665.28,342480.71,324394.64,0.11
2016-11-18,17.3,17.3,16.95,16.92,197410.52,-0.34,-1.97,17.28,17.547,17.302,314438.48,375491.53,352636.61,0.12
2016-11-17,17.15,17.34,17.31,16.91,178630.27,0.1,0.58,17.446,17.587,17.26,363384.09,395185.04,355155.93,0.11
2016-11-16,17.27,17.28,17.2,17.04,294149.16,-0.05,-0.29,17.524,17.56,17.191,390697.32,396220.17,352450.27,0.18
2016-11-15,17.7,17.87,17.25,17.11,359506.38,-0.45,-2.54,17.622,17.526,17.129,428333.79,388229.87,352349.24,0.22
2016-11-14,17.58,18.17,17.69,17.5,542496.06,-0.06,-0.34,17.712,17.512,17.057,441296.14,377988.66,345619.24,0.33
2016-11-11,17.65,18.2,17.78,17.45,442138.59,0.09,0.51,17.814,17.433,16.947,436544.59,337386.81,327173.77,0.27
2016-11-10,17.89,18.0,17.7,17.46,315196.41,0.0,0.0,17.728,17.343,16.834,426985.98,312831.71,309358.11,0.19
2016-11-09,17.75,18.03,17.69,17.13,482331.53,0.04,0.23,17.596,17.249,16.726,401743.02,309976.34,300228.8,0.29
2016-11-08,18.25,18.28,17.7,17.55,424318.09,-0.49,-2.69,17.43,17.18,16.618,348125.95,293268.93,281426.81,0.26
2016-11-07,17.5,18.56,18.2,17.5,518738.31,0.85,4.9,17.312,17.146,16.51,314681.18,306308.58,268599.78,0.31
2016-11-04,17.08,17.65,17.35,17.03,394345.56,0.32,1.88,17.052,17.056,16.371,238229.04,329781.68,251329.74,0.24
2016-11-03,16.83,17.12,17.04,16.6,188981.62,0.18,1.07,16.958,16.932,16.264,198677.44,315126.82,235780.93,0.11
2016-11-02,17.12,17.29,16.86,16.85,214246.19,-0.24,-1.4,16.902,16.822,16.171,218209.66,308680.36,233775.68,0.13
2016-11-01,16.89,17.28,17.11,16.82,257094.23,0.22,1.3,16.93,16.731,16.075,238411.91,316468.6,225507.28,0.16
2016-10-31,16.92,17.02,16.9,16.74,136477.59,0.05,0.3,16.98,16.601,15.969,297935.97,313249.83,215986.44,0.08
2016-10-28,16.68,16.93,16.88,16.63,196587.59,0.11,0.66,17.06,16.46,15.874,421334.32,316960.72,216542.01,0.12
2016-10-27,16.93,17.18,16.76,16.56,286642.72,-0.22,-1.3,16.906,16.325,15.791,431576.19,305884.52,211336.96,0.17
2016-10-26,17.2,17.2,17.0,16.87,315257.41,-0.37,-2.13,16.742,16.202,15.714,399151.06,290481.26,206747.11,0.19
2016-10-25,17.2,17.67,17.36,16.92,554714.56,0.06,0.35,16.532,16.056,15.614,394525.29,269584.7,193260.17,0.34
2016-10-24,16.26,17.53,17.3,16.21,753469.31,1.18,7.32,16.222,15.873,15.496,328563.68,230890.99,168583.7,0.46
2016-10-21,15.99,16.32,16.11,15.99,247796.97,0.17,1.07,15.86,15.685,15.378,212587.12,172877.8,133638.63,0.15
2016-10-20,16.0,16.08,15.94,15.88,124517.04,0.02,0.13,15.744,15.595,15.318,180192.84,156435.04,124886.83,0.08
2016-10-19,15.92,16.18,15.95,15.81,292128.56,0.14,0.89,15.662,15.519,15.275,181811.47,158870.99,122200.6,0.18
2016-10-18,15.49,15.88,15.81,15.45,224906.52,0.31,2.0,15.58,15.418,15.233,144644.11,134545.97,117435.47,0.14
2016-10-17,15.53,15.67,15.49,15.47,173586.52,-0.04,-0.26,15.524,15.336,15.2,133218.3,118723.06,113956.91,0.11
2016-10-14,15.49,15.55,15.53,15.33,85825.56,0.01,0.06,15.51,15.287,15.182,133168.48,116123.3,110108.66,0.05
2016-10-13,15.55,15.68,15.53,15.47,132610.19,0.01,0.06,15.446,15.257,15.155,132677.25,116789.41,112776.87,0.08
2016-10-12,15.48,15.56,15.54,15.39,106291.76,0.0,0.0,15.376,15.226,15.134,135930.52,123012.95,113522.96,0.06
2016-10-11,15.48,15.68,15.53,15.44,167777.45,0.12,0.78,15.256,15.172,15.116,124447.82,116935.65,115532.46,0.1
2016-10-10,15.5,15.55,15.42,15.3,173337.45,0.22,1.45,15.148,15.119,15.091,104227.82,106276.4,112587.78,0.11
2016-09-30,15.16,15.24,15.21,15.11,83369.39,0.03,0.2,15.064,15.071,15.066,99078.12,94399.46,108087.0,0.05
2016-09-29,15.05,15.29,15.18,15.05,148876.53,0.25,1.67,15.068,15.041,15.055,100901.57,93338.61,107321.95,0.09
2016-09-28,15.03,15.08,14.94,14.91,48878.28,-0.06,-0.4,15.076,15.03,15.045,110095.38,85530.21,103541.26,0.03
2016-09-27,14.99,15.03,14.99,14.91,66677.47,0.0,0.0,15.088,15.048,15.045,109423.48,100324.97,106087.89,0.04
2016-09-26,15.2,15.31,15.0,14.99,147588.92,-0.24,-1.57,15.09,15.064,15.041,108324.98,109190.76,107621.12,0.09
2016-09-23,15.23,15.33,15.23,15.17,92486.63,0.0,0.0,15.078,15.076,15.039,89720.8,104094.03,107784.59,0.06
2016-09-22,15.07,15.28,15.22,15.03,194845.62,0.23,1.53,15.014,15.053,15.022,85775.65,108764.34,108939.82,0.12
2016-09-21,15.0,15.05,15.0,14.94,45518.75,0.01,0.07,14.984,15.042,15.011,60965.03,104032.97,105382.83,0.03
2016-09-20,14.95,15.03,15.0,14.89,61184.99,0.05,0.33,15.008,15.059,15.01,91226.47,114129.27,108193.2,0.04
2016-09-19,14.91,14.99,14.94,14.88,54568.02,0.04,0.27,15.038,15.063,15.014,110056.53,118899.16,116713.05,0.03
2016-09-14,14.96,15.03,14.91,14.85,72760.88,-0.15,-1.0,15.074,15.06,15.025,118467.25,121774.55,128791.02,0.04
2016-09-13,15.08,15.11,15.07,14.92,70792.52,-0.05,-0.33,15.092,15.068,15.047,131753.02,121305.29,133856.3,0.04
2016-09-12,14.92,15.15,15.12,14.82,196825.94,-0.02,-0.13,15.1,15.06,15.059,147100.91,121552.32,153774.87,0.12
2016-09-09,15.09,15.34,15.15,15.09,155335.28,0.03,0.2,15.11,15.041,15.075,137032.07,111850.82,158410.04,0.09
2016-09-08,14.99,15.13,15.12,14.93,96621.65,0.13,0.87,15.088,15.017,15.076,127741.79,106051.49,156995.84,0.06
2016-09-07,15.13,15.16,15.0,14.98,139189.72,-0.12,-0.79,15.046,15.001,15.07,125081.84,111475.15,163830.83,0.08
2016-09-06,15.19,15.25,15.11,15.07,147531.94,-0.05,-0.33,15.044,14.991,15.08,110857.55,109115.3,168277.77,0.09
2016-09-05,15.1,15.3,15.17,15.05,146481.77,0.13,0.86,15.02,14.979,15.086,96003.73,106732.7,169464.36,0.09
2016-09-02,14.9,15.07,15.04,14.87,108883.87,0.12,0.8,14.972,14.961,15.093,86669.56,102257.12,177593.32,0.07
2016-09-01,15.0,15.05,14.91,14.91,83321.91,-0.09,-0.6,14.946,14.964,15.085,84361.19,114526.95,175255.87,0.05
2016-08-31,14.95,15.01,14.99,14.9,68068.28,0.03,0.2,14.956,14.989,15.086,97868.46,135807.5,174247.41,0.04
2016-08-30,14.94,15.02,14.99,14.9,73262.8,0.06,0.4,14.938,15.026,15.085,107373.04,146407.32,175761.54,0.04
2016-08-29,14.87,14.94,14.93,14.8,99810.94,0.02,0.13,14.938,15.058,15.088,117461.66,185997.43,179963.86,0.06
2016-08-26,14.96,14.96,14.91,14.87,97342.03,-0.04,-0.27,14.95,15.109,15.09,117844.68,204969.27,188391.07,0.06
2016-08-25,14.81,15.02,14.96,14.8,150858.23,0.07,0.47,14.982,15.134,15.079,144692.71,207940.2,188535.08,0.09
2016-08-24,15.0,15.01,14.9,14.86,115591.22,-0.08,-0.53,15.022,15.138,15.065,173746.55,216186.52,186314.62,0.07
2016-08-23,14.92,15.07,14.99,14.9,123705.9,0.01,0.07,15.114,15.168,15.054,185441.59,227440.24,196375.51,0.08
2016-08-22,15.05,15.12,14.99,14.97,101726.01,-0.08,-0.53,15.178,15.192,15.047,254533.19,232196.03,195634.45,0.06
2016-08-19,15.14,15.19,15.07,14.94,231582.17,-0.08,-0.53,15.268,15.224,15.033,292093.86,252929.53,197958.74,0.14
2016-08-18,15.3,15.51,15.16,15.08,296127.44,-0.2,-1.3,15.286,15.205,15.023,271187.68,235984.8,195358.13,0.18
2016-08-17,15.38,15.44,15.36,15.2,174066.42,0.06,0.39,15.254,15.183,15.008,258626.49,212687.32,189096.04,0.11
2016-08-16,15.55,15.88,15.31,15.28,469163.91,-0.12,-0.78,15.222,15.143,14.988,269438.88,205115.77,188202.61,0.28
2016-08-15,15.2,15.57,15.44,15.15,289529.34,0.28,1.85,15.206,15.118,14.97,209858.86,173930.29,170177.15,0.18
2016-08-12,15.02,15.19,15.16,14.92,127051.31,0.16,1.07,15.18,15.07,14.948,213765.2,171812.88,164593.81,0.08
2016-08-11,15.13,15.2,15.0,14.95,233321.45,-0.2,-1.32,15.124,15.023,14.954,200781.91,169129.97,181960.77,0.14
2016-08-10,15.3,15.51,15.2,15.18,228128.41,-0.07,-0.46,15.112,14.992,14.942,166748.16,156442.73,178424.49,0.14
2016-08-09,15.25,15.32,15.23,15.09,171263.81,-0.08,-0.52,15.064,14.939,14.929,140792.66,165310.79,176218.4,0.1
2016-08-08,14.93,15.47,15.31,14.92,309061.03,0.43,2.89,15.03,14.902,14.922,138001.71,159072.87,190444.02,0.19
2016-08-05,14.98,15.03,14.88,14.86,62134.86,-0.06,-0.4,14.96,14.841,14.876,129860.56,142987.94,184373.9,0.04
2016-08-04,14.95,15.05,14.94,14.84,63152.68,-0.02,-0.13,14.922,14.841,14.843,137478.02,154731.45,185955.24,0.04
2016-08-03,15.01,15.15,14.96,14.93,98350.91,-0.1,-0.66,14.872,14.832,14.812,146137.3,165504.76,190003.89,0.06
2016-08-02,14.91,15.07,15.06,14.77,157309.05,0.11,0.74,14.814,14.833,14.775,189828.92,171289.45,190797.93,0.1
2016-08-01,14.7,14.97,14.96,14.62,268355.31,0.3,2.05,14.774,14.822,14.734,180144.03,166424.02,191302.3,0.16
2016-07-29,14.68,14.86,14.69,14.61,100222.15,-0.01,-0.07,14.722,14.826,14.701,156115.32,157374.73,188597.81,0.06
2016-07-28,14.6,14.74,14.69,14.52,106449.07,0.02,0.14,14.76,14.884,14.676,171984.88,194791.57,190649.27,0.06
2016-07-27,14.89,15.11,14.67,14.4,316809.0,-0.19,-1.28,14.792,14.891,14.645,184872.22,200406.26,188826.79,0.19
2016-07-26,14.68,14.88,14.86,14.66,108884.63,0.17,1.16,14.852,14.919,14.618,152749.98,187126.01,180162.92,0.07
2016-07-25,14.86,14.86,14.7,14.61,148211.77,-0.19,-1.28,14.87,14.942,14.581,152704.0,221815.18,180263.65,0.09
2016-07-22,15.23,15.23,14.88,14.76,179569.95,0.03,0.2,14.93,14.911,14.551,158634.14,225759.86,184324.23,0.11
2016-07-21,15.02,15.02,14.85,14.78,170885.73,-0.11,-0.73,15.008,14.844,14.488,217598.26,217179.02,181645.37,0.1
2016-07-20,14.95,15.37,14.97,14.9,156197.84,-0.01,-0.07,14.99,14.791,14.442,215940.3,214503.03,183503.52,0.09
2016-07-19,14.9,15.04,14.95,14.81,108654.71,-0.05,-0.33,14.986,14.717,14.382,221502.03,210306.41,183620.48,0.07
2016-07-18,15.16,15.21,15.0,14.77,177862.48,-0.27,-1.77,15.014,14.646,14.308,290926.36,216180.58,182805.34,0.11
2016-07-15,14.99,15.67,15.27,14.99,474390.56,0.5,3.38,14.892,14.575,14.234,292885.57,219820.9,176811.29,0.29
2016-07-14,14.93,14.95,14.76,14.6,162595.92,-0.19,-1.27,14.68,14.468,14.149,216759.78,186506.98,159155.36,0.1
2016-07-13,15.0,15.12,14.95,14.8,184006.48,-0.14,-0.93,14.592,14.399,14.081,213065.76,177247.32,155446.46,0.11
2016-07-12,14.39,15.45,15.09,14.39,455776.34,0.7,4.86,14.448,14.317,14.01,199110.8,173199.83,150443.86,0.28
2016-07-11,14.2,14.62,14.39,14.16,187658.56,0.19,1.34,14.278,14.219,13.926,141434.81,138712.12,130557.21,0.11
2016-07-08,14.31,14.31,14.21,14.09,93761.59,-0.12,-0.84,14.258,14.191,13.877,146756.22,142888.6,126922.83,0.06
2016-07-07,14.32,14.46,14.32,14.25,144125.84,0.03,0.21,14.256,14.132,13.859,156254.17,146111.72,125621.87,0.09
2016-07-06,14.18,14.38,14.23,14.07,114231.66,-0.01,-0.07,14.206,14.093,13.836,141428.88,152504.02,122667.48,0.07
2016-07-05,14.2,14.46,14.24,14.19,167396.39,-0.05,-0.35,14.186,14.046,13.814,147288.85,156934.54,121536.36,0.1
2016-07-04,14.0,14.39,14.29,13.85,214265.61,0.41,2.95,14.16,13.969,13.797,135989.42,149430.09,117484.97,0.13
2016-07-01,14.05,14.35,14.2,14.05,141251.36,0.13,0.92,14.124,13.892,13.775,139020.99,133801.68,111405.89,0.09
2016-06-30,14.14,14.2,14.07,14.04,69999.39,-0.05,-0.35,14.008,13.83,13.758,135969.26,131803.75,110219.16,0.04
2016-06-29,14.12,14.27,14.13,14.01,143531.52,0.03,0.21,13.98,13.763,13.753,163579.15,133645.6,116110.6,0.09
