,list
0,600000
1,600008
2,600009
3,600010
4,600011
5,600015
6,600016
7,600018
8,600019
9,600021
10,600023
11,600028
12,600029
13,600030
14,600031
15,600036
16,600038
17,600048
18,600050
19,600061
20,600066
21,600068
22,600074
23,600085
24,600089
25,600100
26,600104
27,600109
28,600111
29,600115
30,600118
31,600153
32,600157
33,600170
34,600177
35,600188
36,600196
37,600208
38,600219
39,600221
40,600233
41,600271
42,600276
43,600297
44,600309
45,600332
46,600340
47,600352
48,600362
49,600369
50,600372
51,600373
52,600376
53,600383
54,600390
55,600406
56,600415
57,600436
58,600482
59,600485
60,600489
61,600498
62,600518
63,600519
64,600522
65,600535
66,600547
67,600549
68,600570
69,600583
70,600585
71,600588
72,600606
73,600637
74,600649
75,600660
76,600663
77,600674
78,600682
79,600685
80,600688
81,600690
82,600703
83,600704
84,600705
85,600739
86,600741
87,600795
88,600804
89,600816
90,600820
91,600827
92,600837
93,600871
94,600886
95,600887
96,600893
97,600895
98,600900
99,600909
100,600919
101,600926
102,600958
103,600959
104,600977
105,600999
106,601006
107,601009
108,601012
109,601018
110,601021
111,601088
112,601099
113,601111
114,601117
115,601118
116,601155
117,601163
118,601166
119,601169
120,601186
121,601198
122,601211
123,601212
124,601216
125,601225
126,601228
127,601229
128,601288
129,601318
130,601328
131,601333
132,601336
133,601375
134,601377
135,601390
136,601398
137,601555
138,601600
139,601601
140,601607
141,601608
142,601611
143,601618
144,601628
145,601633
146,601668
147,601669
148,601688
149,601718
150,601727
151,601766
152,601788
153,601800
154,601818
155,601857
156,601866
157,601872
158,601877
159,601878
160,601881
161,601888
162,601898
163,601899
164,601901
165,601919
166,601933
167,601939
168,601958
169,000001
170,000002
171,000008
172,000060
173,000063
174,000069
175,000100
176,000157
177,000166
178,000333
179,000338
180,000402
181,000413
182,000415
183,000423
184,000425
185,000503
186,000538
187,000540
188,000559
189,000568
190,000623
191,000625
192,000627
193,000630
194,000651
195,000671
196,000686
197,000709
198,000723
199,000725
200,000728
201,000738
202,000750
203,000768
204,000776
205,000783
206,000792
207,000826
208,000839
209,000858
210,000876
211,000895
212,000898
213,000938
214,000959
215,000961
216,000963
217,000983
218,001979
219,002007
220,002008
221,002024
222,002027
223,002044
224,002065
225,002074
226,002081
227,002142
228,002146
229,002153
230,002174
231,002202
232,002230
233,002236
234,002241
235,002252
236,002292
237,002294
238,002304
239,002310
240,002352
241,002385
242,002411
243,002415
244,002424
245,002426
246,002450
247,002456
248,002460
249,002465
250,002466
251,002468
252,002470
253,002475
254,002500
255,002508
256,002555
257,002558
258,002572
259,002594
260,002601
261,002602
262,002608
263,002624
264,002673
265,002714
266,002736
267,002739
268,002797
269,002831
270,002839
271,002841
272,300003
273,300015
274,300017
275,300024
276,300027
277,300033
278,300059
279,300070
280,300072
281,300122
282,300124
283,300136
284,300144
285,300251
286,300315
